"","age","Dalc","Walc"
"1",18,1,1
"2",17,1,1
"3",15,2,3
"4",15,1,1
"5",16,1,2
"6",16,1,2
"7",16,1,1
"8",17,1,1
"9",15,1,1
"10",15,1,1
"11",15,1,2
"12",15,1,1
"13",15,1,3
"14",15,1,2
"15",15,1,1
"16",16,1,2
"17",16,1,2
"18",16,1,1
"19",17,2,4
"20",16,1,3
"21",15,1,1
"22",15,1,1
"23",16,1,3
"24",16,2,4
"25",15,1,1
"26",16,1,3
"27",15,1,2
"28",15,2,4
"29",16,1,1
"30",16,5,5
"31",15,3,4
"32",15,1,1
"33",15,1,1
"34",15,1,1
"35",16,1,1
"36",15,1,1
"37",15,1,1
"38",16,1,1
"39",15,1,1
"40",15,1,1
"41",16,1,2
"42",15,2,4
"43",15,1,1
"44",15,1,1
"45",16,2,2
"46",15,1,1
"47",16,1,4
"48",16,1,1
"49",15,2,2
"50",15,1,1
"51",16,2,3
"52",15,1,1
"53",15,3,4
"54",15,2,3
"55",15,4,4
"56",16,1,1
"57",15,1,1
"58",15,1,1
"59",15,1,1
"60",16,1,1
"61",16,2,3
"62",16,5,5
"63",16,1,1
"64",16,2,4
"65",15,2,4
"66",16,1,2
"67",15,5,5
"68",16,1,2
"69",15,1,3
"70",15,2,3
"71",16,1,1
"72",15,1,1
"73",15,2,4
"74",16,2,2
"75",16,2,4
"76",15,2,3
"77",15,1,1
"78",16,1,3
"79",17,1,1
"80",16,1,2
"81",15,1,3
"82",15,1,2
"83",15,1,1
"84",15,1,3
"85",15,2,3
"86",15,2,3
"87",16,1,2
"88",15,1,3
"89",16,1,1
"90",16,3,5
"91",16,1,3
"92",15,1,3
"93",16,2,3
"94",16,1,1
"95",15,1,1
"96",15,1,1
"97",16,1,1
"98",16,1,1
"99",16,1,2
"100",16,1,1
"101",16,5,5
"102",16,1,1
"103",15,1,1
"104",15,1,1
"105",15,1,1
"106",15,1,1
"107",15,1,1
"108",16,1,1
"109",15,3,5
"110",16,1,1
"111",15,1,1
"112",16,1,1
"113",16,1,1
"114",15,1,1
"115",15,1,1
"116",16,1,2
"117",15,1,1
"118",16,1,1
"119",17,1,4
"120",15,1,2
"121",15,1,2
"122",15,1,2
"123",16,1,2
"124",16,1,4
"125",16,1,1
"126",15,3,2
"127",15,1,1
"128",19,1,1
"129",18,1,2
"130",16,2,5
"131",15,2,2
"132",15,1,2
"133",17,1,3
"134",16,1,4
"135",15,1,1
"136",15,1,1
"137",17,2,4
"138",16,1,1
"139",16,1,3
"140",15,1,1
"141",15,1,1
"142",16,2,2
"143",15,1,1
"144",16,3,3
"145",17,1,2
"146",15,1,2
"147",15,1,1
"148",15,1,1
"149",16,2,1
"150",15,2,5
"151",18,2,5
"152",16,3,5
"153",15,2,3
"154",19,1,1
"155",17,1,1
"156",15,1,1
"157",17,3,3
"158",18,1,5
"159",16,1,2
"160",16,4,4
"161",17,2,2
"162",15,1,4
"163",16,2,4
"164",17,1,4
"165",17,1,5
"166",16,1,1
"167",16,2,4
"168",16,1,1
"169",16,1,1
"170",16,1,1
"171",16,2,4
"172",16,1,1
"173",17,1,3
"174",16,1,1
"175",16,1,1
"176",17,4,4
"177",16,1,4
"178",17,1,4
"179",16,3,4
"180",17,1,1
"181",16,2,3
"182",16,1,2
"183",17,2,3
"184",17,2,3
"185",16,1,2
"186",17,2,3
"187",16,1,2
"188",16,1,2
"189",17,1,3
"190",17,1,5
"191",16,1,1
"192",17,1,1
"193",17,4,5
"194",16,3,4
"195",16,1,1
"196",17,1,1
"197",17,1,2
"198",16,3,5
"199",17,2,3
"200",16,1,2
"201",16,1,5
"202",16,1,3
"203",17,1,3
"204",17,1,2
"205",16,1,1
"206",17,3,4
"207",16,2,2
"208",16,1,1
"209",16,1,4
"210",17,1,1
"211",19,1,2
"212",17,4,5
"213",16,1,1
"214",18,2,4
"215",17,1,2
"216",17,1,3
"217",17,2,4
"218",18,2,4
"219",17,1,4
"220",17,1,1
"221",17,1,2
"222",17,1,1
"223",16,1,1
"224",18,5,5
"225",16,1,1
"226",18,1,1
"227",17,1,3
"228",17,1,3
"229",18,4,5
"230",17,1,2
"231",17,1,2
"232",17,1,1
"233",17,1,3
"234",16,2,4
"235",16,1,1
"236",16,1,3
"237",17,5,5
"238",16,1,1
"239",17,1,1
"240",18,3,5
"241",17,1,4
"242",17,2,3
"243",16,1,1
"244",16,1,2
"245",18,1,1
"246",16,1,1
"247",17,1,1
"248",22,5,5
"249",18,1,3
"250",16,2,4
"251",18,2,4
"252",16,1,3
"253",18,2,5
"254",16,1,3
"255",17,2,4
"256",17,1,2
"257",17,1,1
"258",19,1,1
"259",18,1,2
"260",17,1,1
"261",18,1,3
"262",18,1,1
"263",18,1,1
"264",17,1,1
"265",18,1,1
"266",18,3,4
"267",17,3,4
"268",18,2,2
"269",18,1,3
"270",18,1,2
"271",19,3,3
"272",18,1,3
"273",18,1,1
"274",17,2,2
"275",17,1,1
"276",17,2,3
"277",18,1,1
"278",18,1,4
"279",18,1,1
"280",18,1,2
"281",17,2,4
"282",17,3,4
"283",18,1,1
"284",18,1,1
"285",17,1,2
"286",17,1,2
"287",18,1,2
"288",17,1,1
"289",18,1,3
"290",18,1,1
"291",18,1,4
"292",17,1,2
"293",18,1,1
"294",17,1,1
"295",18,1,1
"296",17,1,3
"297",19,2,3
"298",18,1,2
"299",18,1,1
"300",18,2,2
"301",18,1,1
"302",17,2,2
"303",17,1,1
"304",17,1,2
"305",19,1,1
"306",18,1,1
"307",20,1,1
"308",19,1,1
"309",19,1,2
"310",19,1,3
"311",19,2,2
"312",19,1,1
"313",19,2,2
"314",19,1,2
"315",19,1,1
"316",19,1,1
"317",18,1,2
"318",18,1,1
"319",17,2,5
"320",18,3,3
"321",17,1,2
"322",17,1,1
"323",17,2,2
"324",17,2,3
"325",17,2,3
"326",18,2,2
"327",17,3,5
"328",17,5,5
"329",17,1,3
"330",17,1,2
"331",18,2,4
"332",17,1,1
"333",18,1,1
"334",18,1,1
"335",18,1,1
"336",17,1,3
"337",19,1,2
"338",17,2,3
"339",18,1,1
"340",17,2,3
"341",19,1,3
"342",18,2,2
"343",18,1,3
"344",17,1,2
"345",18,1,2
"346",18,2,3
"347",18,1,2
"348",18,2,3
"349",17,1,3
"350",18,5,5
"351",19,3,3
"352",17,2,3
"353",18,2,3
"354",19,3,3
"355",17,1,3
"356",18,1,1
"357",17,1,2
"358",17,1,2
"359",18,1,2
"360",18,1,1
"361",18,1,4
"362",18,2,3
"363",18,1,3
"364",17,1,1
